Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2022,3878,1,Petrol,HR-98,Manual,Hatchback,514000,Maruti,S Presso
2018,32041,1,Petrol,TN-22,Manual,Sedan,674000,Hyundai,Xcent
2021,96339,1,Diesel,TS-08,Automatic,SUV,1952000,Tata,Safari
2019,51718,1,Diesel,WB-24,Manual,SUV,690000,Maruti,Vitara Brezza
2021,19811,1,Petrol,HR-51,Manual,Hatchback,526000,Tata,Tiago
2017,70129,1,Petrol,MH-14,Manual,Hatchback,552000,Maruti,Swift
2012,103781,1,Petrol,Unknown,Manual,Hatchback,278000,Hyundai,I20
2021,31945,2,Petrol,UP-32,Automatic,Hatchback,518000,Renault,Kwid
2015,39950,1,Petrol,HR-26,Manual,Hatchback,443000,Hyundai,Grand I10
2018,56697,1,Diesel,KA-04,Automatic,Hatchback,710350,Maruti,Swift
2018,38184,2,CNG,PB-10,Automatic,Hatchback,548000,Maruti,Ignis
2019,30347,1,Petrol,MH-48,Automatic,Hatchback,481000,Maruti,S Presso
2012,42375,2,Petrol,GJ-05,Manual,Hatchback,312000,Honda,Brio
2019,47231,1,Petrol,GJ-27,Manual,Hatchback,613000,Hyundai,Elite I20
2014,111577,1,Petrol,Unknown,Manual,Sedan,503000,Honda,City
2018,60042,1,Petrol,MH-47,Manual,Hatchback,614000,Maruti,Baleno
2017,93518,1,Diesel,KA-01,Manual,SUV,693000,Honda,Wr-V
2019,33245,1,Petrol,MH-01,Manual,Sedan,439000,Honda,Amaze
2016,43717,1,Petrol,GJ-01,Manual,Hatchback,294000,Maruti,Alto 800
2021,1863,1,Petrol,PB-91,Automatic,Hatchback,716000,Maruti,Celerio
2019,50078,1,Petrol,TN-19,Manual,SUV,836000,Ford,Ecosport
2018,63856,1,Petrol,UP-16,Manual,Sedan,794000,Maruti,Ciaz
2018,72337,1,Petrol,KA-19,Manual,Hatchback,324000,Renault,Kwid
2021,14567,1,Petrol,WB-02,Manual,Hatchback,678000,Maruti,Swift
2018,36778,1,CNG,DL-8C,Manual,Hatchback,587000,Hyundai,Elite I20
2015,50419,1,Petrol,DL-12,Manual,Hatchback,474000,Hyundai,Elite I20
2010,45257,1,Diesel,HR-51,Manual,Sedan,608000,Honda,City
2016,40368,1,Petrol,HR-26,Manual,Hatchback,477000,Maruti,Swift
2016,37488,1,Petrol,CH-01,Manual,Hatchback,205000,Datsun,Redi Go
2019,43253,1,Petrol,KA-53,Manual,Hatchback,574000,Tata,Tiago Nrg
2022,6587,1,Petrol,KA-02,Manual,Hatchback,572000,Renault,Kwid
2019,37566,2,Petrol,TS-13,Manual,Sedan,635000,Honda,Amaze
2011,33952,2,Petrol,KL-22,Manual,Hatchback,169000,Hyundai,Santro Xing
2018,31679,1,Petrol,KL-09,Manual,SUV,611000,Ford,Freestyle
